"ROWNUM","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","X","Y","global_id"
"1","НОЧУ СПО юридический колледж "Третье тысячелетие"",,"Юго-Восточный административный округ","Рязанский район","Негосударственное","Негосударственное","Образовательное учреждение среднего профессионального образования","Колледж","(495) 744-84-71,744-84-71",,"ysheb.otdel@rambler.ru","37,850588","55,685852","86887487"
"2","Автономная некоммерческая организация среднего профессионального образования Хореографический колледж "Школа классического танца"","115280, Россия, г.Москва, ул. Восточная, д.4, корп.1","Южный","Даниловский","Негосударственное","Негосударственное","Образовательное учреждение среднего профессионального образования","Колледж","(495) 675-22-78,(495) 675-42-94",,"shkt@rambler.ru","37,657122","55,713902","86887624"
"3","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж городской инфраструктуры и строительства № 1","115184 г. Москва, ул. Малая Ордынка, д. 29","Центральный административный округ","район Замоскворечье","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","670-50-86","k01.mskcollege.ru/","01@prof.educom.ru","37,625878","55,73442","86887726"
"4","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский технологический колледж"","115114 г. Москва, Дербеневская наб., д. 3","Южный административный округ","Даниловский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 235-46-82; (499) 235-51-68; (499) 235-71-77; (499) 235-11-24; (499) 235-70-22; (499) 235-70-80; (499) 235-50-66; (499) 235-37-97; (499) 235-86-75; (499) 235-83-17; (499) 235-45-07; (499) 235-69-82; (499) 235-50-34; (499) 235-34-54; (499) 235-79-95; (499) 235-14-49","mtk.mskcollege.ru/","72@prof.educom.ru","37,654086","55,726615","86887727"
"5","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж городского хозяйства № 64","115404 г. Москва, улица Судостроительная, д. 48","Южный административный округ","район Нагатинский Затон","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 617-93-44; (499) 618-71-10; (499) 617-92-55; (499) 617-92-77; (499) 617-93-33; (499) 618-72-01; (499) 617-93-77; (499) 617-92-44",,"64@prof.educom.ru","37,695225","55,688223","86890348"
"6","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж сервиса и туризма № 29","109052, г. Москва, ул. Нижегородская, д. 98","Юго-Восточный административный округ","Нижегородский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 678-30-64; (495) 911-46-41; (495) 670-01-51; (495) 670-65-78; (495) 678-43-67; (495) 678-61-54; (495) 678-69-14; (495) 678-45-82; (495) 670-65-79; (495) 678-43-19; (495) 670-74-01; (495) 678-69-28; (495) 911-46-36","k29.mskcollege.ru/","29@prof.educom.ru","37,609058","55,714889","86890350"
"7","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Строительный колледж № 46","123182, г. Москва, ул. Академика Бочвара, д. 2, корп. 2","Северо-Западный административный округ","район Щукино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","947-37-50","k46.mskcollege.ru/","46@prof.educom.ru","37,432015","55,829499","86890351"
"8","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Колледж малого бизнеса № 67","123458, г. Москва, ул. Твардовского, д. 10, корп. 1","Северо-Западный административный округ","район Строгино","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(495) 756-30-56; (495) 756-30-57; (495) 756-30-58; (495) 756-30-59; (495) 756-30-60; (495) 756-30-61; (495) 756-30-62","k67.mskcollege.ru","kolledg_mb_67@bk.ru","37,394847","55,793141","86890352"
"9","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы "Московский художественно-педагогический колледж технологий и дизайна"","129085, г. Москва, Мурманский проезд, д. 10","Северо-Восточный административный округ","Останкинский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","615-24-60",,"94@prof.educom.ru","37,628239","55,803895","86890354"
"10","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Гуманитарный колледж информационно-библиотечных технологий № 58","105215, г. Москва, Щелковское шоссе, д. 52","Восточный административный округ","район Северное Измайлово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 461-91-54","k58.mskcollege.ru/","58@prof.educom.ru","37,796336","55,809568","86890360"
"11","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 1 имени К.Д. Ушинского","115184 г. Москва, ул. Б. Ордынка, 47/7","Центральный административный округ","район Замоскворечье","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","959-17-33","pk01.mskcollege.ru/","pk1@prof.educom.ru","37,625209","55,734007","86893830"
"12","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 4","117418 г. Москва, улица Цюрупы, д. 14б.","Юго-Западный административный округ","район Черёмушки","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","128-69-22","pk04.mskcollege.ru","pk4@prof.educom.ru","37,572617","55,670439","86893831"
"13","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 5","123022 г. Москва, Столярный пер., д. 16","Центральный административный округ","Пресненский район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 255-02-27",,"PK5@prof.educom.ru","37,566239","55,76425","86893832"
"14","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 6","121170, г. Москва, ул. Поклонная, д. 2","Западный административный округ","район Дорогомилово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 249-44-51",,"PK6@prof.educom.ru","37,531534","55,737669","86893833"
"15","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж №7 "Маросейка"","101000 г. Москва, Армянский пер., д. 4 строение 2","Центральный административный округ","Басманный район","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","621-73-30","pk07.mskcollege.ru/","pk7@prof.educom.ru","37,63638","55,759482","86893834"
"16","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 8 "Измайлово"","105264, г. Москва,  Измайловский бульвар, дом 19","Восточный административный округ","район Измайлово","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 163-00-71","pk08.mskcollege.ru","pk8@prof.educom.ru","37,790466","55,797735","86893835"
"17","Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 9 "Арбат"","121099 г. Москва, пер. Каменная слобода, д. 4, стр. 1","Центральный административный округ","район Арбат","Государственное","Городское подчинение: Управление профессионального образования","Образовательное учреждение среднего профессионального образования","Колледж","(499) 241-63-73",,"pk_9@mail.ru","37,585937","55,750604","86893836"
